Tarih 	TUFE-(Yillik%Degisim)	TUFE-(Aylik%Degisim)
08-2021	19.25	1.12
07-2021	18.95	1.80
06-2021	17.53	1.94
05-2021	16.59	0.89
04-2021	17.14	1.68
03-2021	16.19	1.08
02-2021	15.61	0.91
01-2021	14.97	1.68
12-2020	14.60	1.25
11-2020	14.03	2.30
10-2020	11.89	2.13
09-2020	11.75	0.97
08-2020	11.77	0.86
07-2020	11.76	0.58
06-2020	12.62	1.13
05-2020	11.39	1.36
04-2020	10.94	0.85
03-2020	11.86	0.57
02-2020	12.37	0.35
01-2020	12.15	1.35
12-2019	11.84	0.74
11-2019	10.56	0.38
10-2019	8.55	2
09-2019	9.26	0.99
08-2019	15.01	0.86
07-2019	16.65	1.36
06-2019	15.72	0.03
05-2019	18.71	0.95
04-2019	19.50	1.69
03-2019	19.71	1.03
02-2019	19.67	0.16
01-2019	20.35	1.06
12-2018	20.30	-0.40
11-2018	21.62	-1.44
10-2018	25.24	2.67
09-2018	24.52	6.30
08-2018	17.90	2.30
07-2018	15.85	0.55
06-2018	15.39	2.61
05-2018	12.15	1.62
04-2018	10.85	1.87
03-2018	10.23	0.99
02-2018	10.26	0.73
01-2018	10.35	1.02
12-2017	11.92	0.69
11-2017	12.98	1.49
10-2017	11.90	2.08
09-2017	11.20	0.65
08-2017	10.68	0.52
07-2017	9.79	0.15
06-2017	10.90	-0.27
05-2017	11.72	0.45
04-2017	11.87	1.31
03-2017	11.29	1.02
02-2017	10.13	0.81
01-2017	9.22	2.46
12-2016	8.53	1.64
11-2016	7.00	0.52
10-2016	7.16	1.44
09-2016	7.28	0.18
08-2016	8.05	-0.29
07-2016	8.79	1.16
06-2016	7.64	0.47
05-2016	6.58	0.58
04-2016	6.57	0.78
03-2016	7.46	-0.04
02-2016	8.78	-0.02
01-2016	9.58	1.82
12-2015	8.81	0.21
11-2015	8.10	0.67
10-2015	7.58	1.55
09-2015	7.95	0.89
08-2015	7.14	0.40
07-2015	6.81	0.09
06-2015	7.20	-0.51
05-2015	8.09	0.56
04-2015	7.91	1.63
03-2015	7.61	1.19
02-2015	7.55	0.71
01-2015	7.24	1.10
12-2014	8.17	-0.44
11-2014	9.15	0.18
10-2014	8.96	1.90
09-2014	8.86	0.14
08-2014	9.54	0.09
07-2014	9.32	0.45
06-2014	9.16	0.31
05-2014	9.66	0.4
04-2014	9.38	1.34
03-2014	8.39	1.13
02-2014	7.89	0.43
01-2014	7.75	1.98
12-2013	7.4	0.46
11-2013	7.32	0.01
10-2013	7.71	1.8
09-2013	7.88	0.77
08-2013	8.17	-0.1
07-2013	8.88	0.31
06-2013	8.3	0.76
05-2013	6.51	0.15
04-2013	6.13	0.42
03-2013	7.29	0.66
02-2013	7.03	0.3
01-2013	7.31	1.65
12-2012	6.16	0.38
11-2012	6.37	0.38
10-2012	7.8	1.96
09-2012	9.19	1.03
08-2012	8.88	0.56
07-2012	9.07	-0.23
06-2012	8.87	-0.9
05-2012	8.28	-0.21
04-2012	11.14	1.52
03-2012	10.43	0.41
02-2012	10.43	0.56
01-2012	10.61	0.56
12-2011	10.45	0.58
11-2011	9.48	1.73
10-2011	7.66	3.27
09-2011	6.15	0.75
08-2011	6.65	0.73
07-2011	6.31	-0.41
06-2011	6.24	-1.43
05-2011	7.17	2.42
04-2011	4.26	0.87
03-2011	3.99	0.42
02-2011	4.16	0.73
01-2011	4.9	0.41
12-2010	6.4	-0.3
11-2010	7.29	0.03
10-2010	8.62	1.83
09-2010	9.24	1.23
08-2010	8.33	0.4
07-2010	7.58	-0.48
06-2010	8.37	-0.56
05-2010	9.1	-0.36
04-2010	10.19	0.6
03-2010	9.56	0.58
02-2010	10.13	1.45
01-2010	8.19	1.85
